Analysis_Cohort,Analysis_Subgroup,Source_File,Cohort,Subcohort_Subgroup,Model_Name,Optimal_Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall,TP,TN,FP,FN,Overall_FNR,Worst_Group_FNR,FNR Gap,FPR Gap,FNR_Gap_DGAP,Equalized_Odds_Difference_EOD,Demographic_Parity_Ratio_DPR,Fairness-Performance Stability Area,Selected Ensemble Ratio,EFNHI_Star,Brier_Score,Platt_Calibration_Slope
Texas,Diabetes,parity_Texas_Cohort_Diabetes_d.csv,Texas Cohort,Diabetes (d),CatBoost with ACT-parity,0.4538,0.809,0.5622,0.57,0.7413,0.4765,0.7093,344,1143,378,141,0.3711340206185567,0.4258064516129032,0.1157627834906324,0.1686708860759493,0.1157627834906324,0.1422168347832909,1.0,,,0.0935738798675103,0.1601,0.9564
Texas,Diabetes,parity_Texas_Cohort_Diabetes_d.csv,Texas Cohort,Diabetes (d),CatBoost baseline,0.3961,0.8063,0.5498,0.5644,0.6999,0.4348,0.8041,390,1014,507,95,0.3525773195876289,0.432258064516129,0.1605189340813464,0.1201814058956916,0.1605189340813464,0.140350169988519,1.0,,,0.1197921589217197,0.1629,0.9865
Texas,Diabetes,parity_Texas_Cohort_Diabetes_d.csv,Texas Cohort,Diabetes (d),XGBoost with ACT-parity,0.4246,0.7964,0.5312,0.5613,0.7413,0.4756,0.6845,332,1155,366,153,0.4185567010309278,0.4903225806451612,0.1366107902521481,0.1322784810126582,0.1366107902521481,0.1344446356324032,1.0,,,0.1441076947554673,0.1597,0.7269
Texas,Diabetes,parity_Texas_Cohort_Diabetes_d.csv,Texas Cohort,Diabetes (d),XGBoost baseline,0.3328,0.7969,0.5424,0.5551,0.6939,0.4279,0.7897,383,1009,512,102,0.4412371134020618,0.4967741935483871,0.1037610931117059,0.0702947845804988,0.1037610931117059,0.0870279388461023,1.0,,,0.118382616858006,0.1583,0.7438
Texas,Diabetes,parity_Texas_Cohort_Diabetes_d.csv,Texas Cohort,Diabetes (d),HIR-M3 Transformer,0.4558,0.5846,0.2979,0.4068,0.4227,0.2706,0.8186,397,451,1070,88,0.7546391752577319,0.8258064516129032,0.1096492463727285,0.1465189873417721,0.1096492463727285,0.1280841168572503,1.0,,,0.154156734676365,0.2323,1.9158
Texas,Diabetes,parity_Texas_Cohort_Diabetes_d.csv,Texas Cohort,Diabetes (d),HIR-M3 Transformer with ACT-parity,0.1138,0.4992,0.2422,0.3916,0.2532,0.2438,0.9938,482,26,1495,3,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,0.0,0.1886,0.1113
Texas,Diabetes,parity_Texas_Cohort_Diabetes_d.csv,Texas Cohort,Diabetes (d),XGBoost + HIR-M3 Ensemble (30:70),0.4375,0.788,0.5332,0.5494,0.7024,0.4333,0.7505,364,1045,476,121,0.5030927835051546,0.5483870967741935,0.076771376250176,0.060657596371882,0.076771376250176,0.068714486311029,1.0,,30:70,0.1177036548250848,0.1911,3.0033
Texas,Diabetes,parity_Texas_Cohort_Diabetes_d.csv,Texas Cohort,Diabetes (d),XGBoost + HIR-M3 Ensemble (30:70) with ACT-parity,0.2291,0.782,0.5153,0.5537,0.6994,0.4319,0.7711,374,1029,492,111,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,30:70,0.0,0.1596,2.3292
Texas,Heart Failure + Hypertension,parity_Texas_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv,Texas Cohort,Heart Failure + Hypertension (hf+hyp),CatBoost with ACT-parity,0.2678,0.7217,0.625,0.6737,0.6239,0.537,0.9039,254,154,219,27,0.3451957295373665,0.3968253968253968,0.1718253968253968,0.2854406130268199,0.1718253968253968,0.2286330049261083,1.0,,,0.0472100007739265,0.2154,0.6246
Texas,Heart Failure + Hypertension,parity_Texas_Cohort_Heart_Failure__plus__Hypertension_hf_plus_hyp.csv,Texas Cohort,Heart Failure + Hypertension (hf+hyp),CatBoost baseline,0.3112,0.7495,0.6739,0.6939,0.6682,0.5748,0.8754,246,191,182,35,0.298932384341637,0.3218390804597701,0.1218390804597701,0.2509578544061303,0.1218390804597701,0.1863984674329502,1.0,,,0.0215302934815393,0.2022,0.7097
