Threshold,ROC_AUC,PR_AUC,F1_Score,Accuracy,Precision,Recall_Sensitivity,Specificity,Brier_Score,TP,TN,FP,FN,Pair Name,Base Model,HIR Model,Weight Base,Weight HIR,Ensemble Ratio (Base:HIR),Optimal Threshold,Sample Size
0.22740068917097733,0.8168062615055018,0.46624380381023756,0.47872950349730536,0.8045445751015757,0.4050645192587562,0.5851436580238262,0.8442943476715251,0.10426791543352704,4175,33250,6132,2960,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,0.9,0.1,90:10,0.22740068917097733,232581
0.22455407259630045,0.818174809211569,0.4685253826677136,0.47962983861866604,0.8017498978867941,0.4014357230565788,0.5956552207428171,0.839088923873851,0.10398408857707188,4250,33045,6337,2885,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,0.8,0.2,80:20,0.22455407259630045,232581
0.22490800888674006,0.8193059859624471,0.47060544166089224,0.4807616914029683,0.8006965195519917,0.4003731343283582,0.601541695865452,0.8367782235539079,0.10374272572007374,4292,32954,6428,2843,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,0.7,0.3,70:30,0.22490800888674006,232581
0.233076446211114,0.8202277037268546,0.4724640121864463,0.48154056517775756,0.8043725949652815,0.4056830181434194,0.59229152067274,0.8427962013102432,0.10354382689304398,4226,33191,6191,2909,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,0.6,0.4,60:40,0.233076446211114,232581
0.23826551711763022,0.8209661947018365,0.47399134118241665,0.48230367693454945,0.8059849087430402,0.4082346086618761,0.589208128941836,0.8452592554974354,0.10338739209305475,4204,33288,6094,2931,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,0.5,0.5,50:50,0.23826551711763022,232581
0.2508338768772911,0.8215248255484161,0.475252778271869,0.4828605200945626,0.8118967259281553,0.4174757281553398,0.5725297827610372,0.8552638261134529,0.10327342122021659,4085,33682,5700,3050,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,0.4,0.6,40:60,0.2508338768772911,232581
0.2509485733575406,0.8219202943358561,0.4761941828909079,0.4830215236643012,0.8104993873207644,0.41528842275110933,0.5771548703573931,0.8527753796150526,0.10320191453890938,4118,33584,5798,3017,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,0.3,0.7,30:70,0.2509485733575406,232581
0.2463672152010557,0.8221497931407449,0.47670266788576826,0.48337434899559323,0.8059419137089666,0.4084929386728574,0.5918710581639803,0.8447260169620638,0.10317287164051776,4223,33267,6115,2912,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,0.2,0.8,20:80,0.2463672152010557,232581
0.245932986578432,0.8222171441554071,0.47675397611674797,0.48367717070958965,0.8041576197949137,0.4060329241602436,0.5980378416257883,0.8415011934386268,0.10318629303220744,4267,33140,6242,2868,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,0.1,0.9,10:90,0.245932986578432,232581
0.22931766729596578,0.8151554125108185,0.46367514727406944,0.4770088248954947,0.8063503665326655,0.4071761324214491,0.5757533286615277,0.8481285866639582,0.10459420629960967,4108,33401,5981,3027,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,1.0,0.0,100:0,0.22931766729596578,232581
0.24967992305755615,0.8220984444424593,0.4765334016943704,0.48353276353276353,0.8051465055786057,0.40739318290926546,0.5946741415557113,0.8432786552231984,0.10324217814484205,4243,33210,6172,2892,Logistic Regression + HIR-M3 Transformer,Logistic Regression,HIR-M3 Transformer,0.0,1.0,0:100,0.24967992305755615,232581
0.2863386869430542,0.8113308499996994,0.455887575728012,0.4796625837762884,0.806393361566739,0.4080408925587339,0.5817799579537491,0.8470875019044234,0.10581437588005484,4151,33360,6022,2984,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,0.9,0.1,90:10,0.2863386869430542,232581
0.27555784583091736,0.8136327991362842,0.4604418249052801,0.48280566134257946,0.8043940924823183,0.4061005928475808,0.5952347582340575,0.8422883550860799,0.10515295961354343,4247,33171,6211,2888,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,0.8,0.2,80:20,0.27555784583091736,232581
0.27836498618125916,0.8157050857614189,0.46460844859451783,0.4828943560057887,0.8079626803104242,0.41134122287968444,0.58458304134548,0.8484332943984562,0.10458544689548419,4171,33413,5969,2964,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,0.7,0.3,70:30,0.27836498618125916,232581
0.2764100134372711,0.8175293925344185,0.46820280363038624,0.4832856892830057,0.8095964916052196,0.4139516290225865,0.5805185704274702,0.8510994870753136,0.10411183884540244,4142,33518,5864,2993,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,0.6,0.4,60:40,0.2764100134372711,232581
0.27546337246894836,0.8190981426885606,0.47125623645752757,0.48360317927583163,0.8114452780703829,0.4169543147208122,0.5756131744919412,0.8541719567315017,0.10373213465270263,4107,33639,5743,3028,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,0.5,0.5,50:50,0.27546337246894836,232581
0.26848524808883667,0.8204009426366159,0.4737009630596822,0.48389539285922295,0.8095105015370725,0.4139924257524417,0.5822004204625087,0.850693210095983,0.10344633484807877,4154,33502,5880,2981,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,0.4,0.6,40:60,0.26848524808883667,232581
0.25036612153053284,0.8213846962906977,0.47540417990115963,0.48395721925133683,0.8008470021712493,0.40159008967366183,0.6088297126839524,0.8356355695495404,0.10325443934308365,4344,32909,6473,2791,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,0.3,0.7,30:70,0.25036612153053284,232581
0.2527919113636017,0.8220262107016617,0.4764314725732309,0.48447837150127226,0.8040071371756562,0.40606635071090047,0.6004204625087597,0.8408917779696308,0.10315644800490728,4284,33116,6266,2851,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,0.2,0.8,20:80,0.2527919113636017,232581
0.25496363639831543,0.8222955400247061,0.47679337305976516,0.4838543160309722,0.8065438441859966,0.4095145631067961,0.5911702873160477,0.8455639632319334,0.10315236104241261,4218,33300,6082,2917,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,0.1,0.9,10:90,0.25496363639831543,232581
0.28351080417633057,0.8088252961656329,0.45095806193757404,0.47766615585447536,0.8021583507104929,0.4013735215566578,0.5897687456201822,0.8406378548575492,0.10656969721558587,4208,33106,6276,2927,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,1.0,0.0,100:0,0.28351080417633057,232581
0.24967992305755615,0.8220984444424593,0.4765334016943704,0.48353276353276353,0.8051465055786057,0.40739318290926546,0.5946741415557113,0.8432786552231984,0.10324217814484205,4243,33210,6172,2892,Standard MLP + HIR-M3 Transformer,Standard MLP,HIR-M3 Transformer,0.0,1.0,0:100,0.24967992305755615,232581
