Cohort,Subgroup,Cohort Size,Num Features,Model,Accuracy_Formatted,Brier_Score_Formatted,F1_Score_Formatted,PR_AUC_Formatted,Precision_Formatted,ROC_AUC_Formatted,Recall_Sensitivity_Formatted,Specificity_Formatted
Nationwide Cohort,Hyp,65916,2077,Gradient Boosting,0.7156 (0.7089 - 0.7224),0.1904 (0.1880 - 0.1925),0.5337 (0.5223 - 0.5454),0.4982 (0.4810 - 0.5164),0.4324 (0.4203 - 0.4462),0.7827 (0.7748 - 0.7903),0.6971 (0.6815 - 0.7113),0.7213 (0.7138 - 0.7297)
Nationwide Cohort,Hyp,65916,2077,HIR-M3 Transformer,0.4122 (0.4039 - 0.4207),0.2467 (0.2456 - 0.2482),0.3837 (0.3735 - 0.3940),0.2805 (0.2693 - 0.2918),0.2540 (0.2453 - 0.2628),0.5688 (0.5579 - 0.5786),0.7838 (0.7688 - 0.7974),0.2990 (0.2895 - 0.3082)
Nationwide Cohort,Hyp,65916,2077,LightGBM,0.7042 (0.6962 - 0.7114),0.1706 (0.1672 - 0.1736),0.5371 (0.5252 - 0.5495),0.5091 (0.4929 - 0.5287),0.4231 (0.4109 - 0.4361),0.7849 (0.7767 - 0.7941),0.7353 (0.7193 - 0.7515),0.6947 (0.6863 - 0.7046)
Nationwide Cohort,Hyp,65916,2077,Logistic Regression,0.6804 (0.6734 - 0.6880),0.2001 (0.1967 - 0.2033),0.4961 (0.4839 - 0.5108),0.4623 (0.4450 - 0.4815),0.3926 (0.3801 - 0.4075),0.7478 (0.7394 - 0.7568),0.6739 (0.6601 - 0.6892),0.6824 (0.6734 - 0.6908)
Nationwide Cohort,Hyp,65916,2077,Random Forest,0.6605 (0.6526 - 0.6686),0.1668 (0.1643 - 0.1692),0.4863 (0.4730 - 0.4997),0.4273 (0.4097 - 0.4445),0.3760 (0.3626 - 0.3903),0.7277 (0.7183 - 0.7363),0.6885 (0.6722 - 0.7024),0.6519 (0.6421 - 0.6617)
Nationwide Cohort,Hyp,65916,2077,SAINT Transformer,0.7390 (0.7316 - 0.7464),0.1910 (0.1881 - 0.1942),0.1741 (0.1591 - 0.1883),0.2847 (0.2729 - 0.2964),0.3330 (0.3098 - 0.3545),0.5699 (0.5585 - 0.5798),0.1179 (0.1071 - 0.1284),0.9281 (0.9239 - 0.9325)
Nationwide Cohort,Hyp,65916,2077,Standard MLP,0.7154 (0.7085 - 0.7229),0.2060 (0.2020 - 0.2098),0.4799 (0.4674 - 0.4946),0.4394 (0.4226 - 0.4586),0.4185 (0.4048 - 0.4345),0.7305 (0.7219 - 0.7403),0.5624 (0.5461 - 0.5808),0.7620 (0.7543 - 0.7703)
Nationwide Cohort,Hyp,65916,2077,Standard Transformer,0.2971 (0.2894 - 0.3048),0.2471 (0.2459 - 0.2486),0.3854 (0.3746 - 0.3960),0.2833 (0.2702 - 0.2947),0.2421 (0.2340 - 0.2505),0.5733 (0.5618 - 0.5836),0.9440 (0.9364 - 0.9522),0.1000 (0.0933 - 0.1055)
Nationwide Cohort,Hyp,65916,2077,XGBoost,0.7158 (0.7089 - 0.7233),0.1773 (0.1741 - 0.1801),0.5430 (0.5306 - 0.5573),0.5247 (0.5079 - 0.5450),0.4347 (0.4208 - 0.4489),0.7927 (0.7852 - 0.8007),0.7231 (0.7089 - 0.7390),0.7136 (0.7045 - 0.7228)
Texas Cohort,D,10030,758,CatBoost,0.7169 (0.6969 - 0.7383),0.1585 (0.1491 - 0.1666),0.5617 (0.5284 - 0.5913),0.5571 (0.5128 - 0.6050),0.4494 (0.4130 - 0.4849),0.8074 (0.7838 - 0.8299),0.7494 (0.7108 - 0.7895),0.7064 (0.6834 - 0.7324)
Texas Cohort,D,10030,758,Gradient Boosting,0.7301 (0.7098 - 0.7488),0.1694 (0.1620 - 0.1772),0.5456 (0.5118 - 0.5808),0.5338 (0.4802 - 0.5777),0.4608 (0.4260 - 0.4978),0.7955 (0.7727 - 0.8166),0.6693 (0.6252 - 0.7112),0.7496 (0.7294 - 0.7705)
Texas Cohort,D,10030,758,HIR-M3 Transformer,0.2423 (0.2253 - 0.2613),0.2479 (0.2477 - 0.2480),0.3899 (0.3678 - 0.4143),0.2899 (0.2592 - 0.3256),0.2423 (0.2253 - 0.2613),0.5749 (0.5468 - 0.6063),1.0000 (1.0000 - 1.0000),0.0000 (0.0000 - 0.0000)
Texas Cohort,D,10030,758,LightGBM,0.7443 (0.7253 - 0.7642),0.1593 (0.1478 - 0.1715),0.5194 (0.4790 - 0.5532),0.5375 (0.4897 - 0.5772),0.4769 (0.4372 - 0.5173),0.7920 (0.7712 - 0.8140),0.5708 (0.5237 - 0.6093),0.7999 (0.7804 - 0.8210)
