Dataset,Method,Feature Name,Score
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_2CHMS,1.000000024265585
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_5,1.0000000241975067
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CFKU,1.0000000240952305
Complete Cohort,Variance Threshold,COUNTY_NAME_Fannin,1.0000000239538307
Complete Cohort,Variance Threshold,valv,1.000000023809879
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_10,1.0000000237232172
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BHLT,1.0000000236522517
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1BHMS,1.0000000233728277
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_27,1.0000000229056938
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_4_ICD_10_C_M_Cluster_27,1.0000000228068016
Complete Cohort,Variance Threshold,COUNTY_NAME_Brown,1.0000000228068016
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_1CGKW,1.0000000228068016
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_5_ICD_10_C_M_Cluster_val_15,1.0000000215258928
Complete Cohort,Variance Threshold,COUNTY_NAME_Rockwall,1.0000000211794873
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_24,1.0000000210823463
Complete Cohort,Variance Threshold,ACS_PCT_BACHELOR_DGR,1.0000000209053692
Complete Cohort,Variance Threshold,Submitted_HIPPS_Code_5BGKS,1.0000000207515731
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_20,1.000000020465436
Complete Cohort,Variance Threshold,Primary_Diagnosis_ICD_10_C_M_Code_Cluster_188,1.0000000201076098
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_1_ICD_10_C_M_Cluster_114,1.0000000201076098
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_22,1.0000000200102195
Complete Cohort,Variance Threshold,drug,1.0000000199058432
Complete Cohort,Variance Threshold,Gender_Male,1.0000000197560224
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_2_ICD_10_C_M_Cluster_13,1.0000000197447882
Complete Cohort,Variance Threshold,ACS_PCT_HEALTH_INC_138_199,1.000000019556351
Complete Cohort,Variance Threshold,ACS_PCT_HS_GRADUATE,1.0000000192701382
Complete Cohort,Variance Threshold,COUNTY_NAME_Bexar,1.000000018847546
Complete Cohort,Variance Threshold,COUNTY_NAME_Victoria,1.0000000183647264
Complete Cohort,Variance Threshold,COUNTY_NAME_Bell,1.0000000183243636
Complete Cohort,Variance Threshold,Other_Diagnosis_Code_3_ICD_10_C_M_Cluster_0,1.0000000180466126
