Cluster_ID,Cluster_Name,Source_Column
-54,"Circulatory: I82.412, I82.432",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-53,"Circulatory: I82.411, I82.431",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-52,"Circulatory: I70.238, I70.248",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-51,"Circulatory: I69.991, I69.920",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-50,"Circulatory: I69.251, I69.254",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-49,"Circulatory: I69.151, I69.154",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-48,"Circulatory: I69.091, I69.020",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-47,"Circulatory: I69.011, I69.098",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-46,"Circulatory: I50.23, I25.5",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-45,"Circulatory: I15.0, I70.1",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-44,"Factors Influencing Health Status: G91.2, Z98.2",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-43,"Injury/Toxicity: G82.50, S14.109S",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-42,"Skin/Subcutaneous: L89.154, G82.21",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-41,"Neurologic: G56.01, G56.02",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-40,"Neurologic: G24.3, G24.8",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-39,"Musculoskeletal: M46.26, G06.1",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-38,"Mental/Behavioral: F51.05, G25.89",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
-37,"Mental/Behavioral: F12.10, F14.10",Other_Diagnosis_Code_1_ICD_10_C_M_Cluster
-36,"Mental/Behavioral: G62.1, F10.188",Primary_Diagnosis_ICD_10_C_M_Code_Cluster
