Method,Dataset,Feature_Short,Score_TX,Score_Nationwide,Score_Diff,Abs_Diff
Random Forest Importance,Heart Failure Patients,CHF,0.0161667335880089,0.1121866461731964,-0.0960199125851875,0.0960199125851875
HIR-M3 Attention Importance,Complete Cohort,elix swiss ageadj,0.0950567722320556,0.0035471525043249,0.0915096197277307,0.0915096197277307
HIR-M3 Attention Importance,Hypertensive Patients,COPD,0.0182989612221717,0.1093600019812583,-0.0910610407590866,0.0910610407590866
HIR-M3 Attention Importance,Hypertensive Patients,County: Harris,0.0164773259311914,0.1040753498673439,-0.0875980239361525,0.0875980239361525
Lasso (L1 LogReg),Hypertensive Patients,CHF,0.0,0.0871165045297386,-0.0871165045297386,0.0871165045297386
HIR-M3 Attention Importance,Complete Cohort,White,0.0853524729609489,0.0013978346250951,0.0839546383358538,0.0839546383358538
HIR-M3 Attention Importance,Complete Cohort,elix quan score,0.0879770144820213,0.0052140676416456,0.0827629468403757,0.0827629468403757
HIR-M3 Attention Importance,Complete Cohort,"Dx4 – Circulatory: I10., M62.81",0.0844660848379135,0.0021927710622549,0.0822733137756586,0.0822733137756586
Lasso (L1 LogReg),Diabetic Patients,Primary Dx – Endocrine/Metabolic: E11.65,-0.0605122483404239,0.0182977041588259,-0.0788099524992498,0.0788099524992498
Lasso (L1 LogReg),Hypertensive Patients,Dx5 – Circulatory: I50.22,0.0058863093610324,0.0836194835244891,-0.0777331741634567,0.0777331741634567
Lasso (L1 LogReg),Hypertensive Patients,charlson score,0.0137355450452685,0.0909411138726397,-0.0772055688273712,0.0772055688273712
Lasso (L1 LogReg),Hypertensive Patients,Dx4 – Circulatory: I50.22,0.001274324312522,0.0784500517552348,-0.0771757274427128,0.0771757274427128
Lasso (L1 LogReg),Hypertensive Patients,"Dx5 – Circulatory: I10., M62.81",0.0749149459800656,0.0008751125319986,0.074039833448067,0.074039833448067
HIR-M3 Attention Importance,Complete Cohort,COPD,0.0699977502226829,0.0025530746206641,0.06744467560201879,0.06744467560201879
Lasso (L1 LogReg),Diabetic Patients,Dx5 – Circulatory: I50.22,0.0,0.0658241472450574,-0.0658241472450574,0.0658241472450574
Lasso (L1 LogReg),Hypertensive Patients,"Dx4 – Circulatory: I10., M62.81",0.0775843309544345,0.0123119053856191,0.06527242556881539,0.06527242556881539
Lasso (L1 LogReg),Diabetic Patients,Days Cared For,0.6095190132661553,0.6723329217208817,-0.06281390845472634,0.06281390845472634
Lasso (L1 LogReg),Hypertensive Patients,POP URB,0.0179624992958463,-0.0448176678401113,0.0627801671359576,0.0627801671359576
Lasso (L1 LogReg),Diabetic Patients,elix swiss score,0.0614952136896148,0.0,0.0614952136896148,0.0614952136896148
Lasso (L1 LogReg),Diabetic Patients,"Dx5 – Circulatory: I10., M62.81",0.060878399316729,0.0,0.060878399316729,0.060878399316729
Lasso (L1 LogReg),Diabetic Patients,Primary Dx – Endocrine/Metabolic: E11.65,-0.0605122483404239,0.0,-0.0605122483404239,0.0605122483404239
Lasso (L1 LogReg),Heart Failure Patients,"Dx4 – Circulatory: I10., M62.81",0.0540601047979295,-0.0059512071391135,0.060011311937042996,0.060011311937042996
HIR-M3 Attention Importance,Complete Cohort,Primary Dx – Cluster 176,0.0597855374217033,0.0022598297800868,0.0575257076416165,0.0575257076416165
Lasso (L1 LogReg),Hypertensive Patients,Dx3 – Circulatory: I50.22,0.0020099696942043,0.0587812485519164,-0.056771278857712104,0.056771278857712104
Lasso (L1 LogReg),Hypertensive Patients,HYPUNC,-0.278693456724532,-0.3342179658450927,0.05552450912056073,0.05552450912056073
Lasso (L1 LogReg),Diabetic Patients,CHF,0.0279595559451492,0.0826587286990233,-0.0546991727538741,0.0546991727538741
Lasso (L1 LogReg),Diabetic Patients,elix quan score,0.1285189970727751,0.0739044403464549,0.05461455672632019,0.05461455672632019
Lasso (L1 LogReg),Diabetic Patients,BMI: Obese Class1,-0.0016598868906192,-0.0557451919350288,0.054085305044409594,0.054085305044409594
Lasso (L1 LogReg),Hypertensive Patients,CEVD,0.0,-0.0539949131294867,0.0539949131294867,0.0539949131294867
HIR-M3 Attention Importance,Complete Cohort,County: Martin,0.0558605566620826,0.002347060944885,0.0535134957171976,0.0535134957171976
HIR-M3 Attention Importance,Complete Cohort,County: Aransas,0.0536312572658062,0.0016477390890941,0.051983518176712096,0.051983518176712096
Lasso (L1 LogReg),Diabetic Patients,BMI: Obese Class2,0.0,-0.0513368878239897,0.0513368878239897,0.0513368878239897
Lasso (L1 LogReg),Diabetic Patients,"Primary Dx – Circulatory: I10., M62.81",-0.0492976625474253,0.001900553928634,-0.0511982164760593,0.0511982164760593
Lasso (L1 LogReg),Diabetic Patients,"Dx1 – Circulatory: I10., M62.81",-0.0460931153720887,0.0050891401157789,-0.051182255487867596,0.051182255487867596
Lasso (L1 LogReg),Hypertensive Patients,CARIT,0.0,0.0498351774258066,-0.0498351774258066,0.0498351774258066
Lasso (L1 LogReg),Diabetic Patients,Dx4 – Circulatory: I50.22,0.0011697540855448,0.0503400875849227,-0.0491703334993779,0.0491703334993779
Lasso (L1 LogReg),Hypertensive Patients,HIPPS: Other,0.0823988588172883,0.0335183343744225,0.0488805244428658,0.0488805244428658
Lasso (L1 LogReg),Heart Failure Patients,Dx3 – Circulatory: I50.22,0.0010281771999186,0.0495079839226947,-0.048479806722776096,0.048479806722776096
HIR-M3 Attention Importance,Complete Cohort,County: Gillespie,0.0506669208407402,0.0027198542375117,0.0479470666032285,0.0479470666032285
HIR-M3 Attention Importance,Complete Cohort,Acs % Hh No Comp Dev,0.0501959957182407,0.0025875514838844,0.047608444234356305,0.047608444234356305
Lasso (L1 LogReg),Hypertensive Patients,charlson survival 10yr,-0.0085105813849807,-0.0558791456056093,0.0473685642206286,0.0473685642206286
Lasso (L1 LogReg),Heart Failure Patients,Dx4 – Circulatory: I50.22,0.0,0.0467695743119343,-0.0467695743119343,0.0467695743119343
Lasso (L1 LogReg),Hypertensive Patients,Days Cared For,0.5700216069230429,0.6166768511948586,-0.046655244271815666,0.046655244271815666
Lasso (L1 LogReg),Hypertensive Patients,Dx2 – Circulatory: I50.22,0.0105652037929329,0.0563116244173035,-0.0457464206243706,0.0457464206243706
Lasso (L1 LogReg),Heart Failure Patients,Dx2 – Factors Influencing Health Status: Z79.82,0.0479020914057349,0.0024101500212357,0.0454919413844992,0.0454919413844992
Lasso (L1 LogReg),Heart Failure Patients,Dx5 – Circulatory: I50.22,0.0038502322950661,0.0492972046326513,-0.0454469723375852,0.0454469723375852
Lasso (L1 LogReg),Heart Failure Patients,REND,0.0687597678529886,0.0244812041181162,0.04427856373487239,0.04427856373487239
XGBoost Importance,Heart Failure Patients,CHF,0.0427942313253879,0.0865369290113449,-0.043742697685957,0.043742697685957
Lasso (L1 LogReg),Heart Failure Patients,Primary Dx – Circulatory: I50.22,-0.0048233848852028,-0.0485477102828762,0.0437243253976734,0.0437243253976734
