Dataset,Method,Feature Name,Score
Complete Cohort,Random Forest Importance,POPPCT_RUR,0.001981250648995535
Complete Cohort,Random Forest Importance,POP_URB,0.0019383280599345346
Complete Cohort,Random Forest Importance,POPPCT_URB,0.0019210706579700434
Complete Cohort,Random Forest Importance,psycho,0.0018664865372183142
Complete Cohort,Random Forest Importance,pcd,0.0017953557316166852
Complete Cohort,Random Forest Importance,pvd,0.0016636172739272058
Complete Cohort,Random Forest Importance,fed,0.001627741216737102
Complete Cohort,Random Forest Importance,ACS_PCT_HH_OTHER_COMP_ONLY,0.0014092118934217123
Complete Cohort,Random Forest Importance,alcohol,0.0013538081082115937
Complete Cohort,Random Forest Importance,ACS_PCT_POV_NHPI,0.0013278134527924747
Complete Cohort,Random Forest Importance,wloss,0.0012797013834539713
Complete Cohort,Random Forest Importance,ld,0.001105261573436173
Complete Cohort,Random Forest Importance,hp,0.0009875154828628337
Complete Cohort,Random Forest Importance,American_Indian_or_Alaska_Native,0.0007507257903908658
Complete Cohort,Random Forest Importance,lymph,0.0005295505581751367
Complete Cohort,Random Forest Importance,metacanc,0.00048329568430751935
Complete Cohort,Random Forest Importance,Native_Hawiian_or_Pacific_Islander,0.00043355448296268835
Complete Cohort,Random Forest Importance,drug,0.00032777508956929587
Complete Cohort,Random Forest Importance,coag,0.0003242618479024185
Complete Cohort,Random Forest Importance,aids,3.763807924522172e-07
Complete Cohort,Permutation Importance (RF),Days_Cared_For,0.026446245458649487
Complete Cohort,Permutation Importance (RF),hypothy,0.00021497517036777046
Complete Cohort,Permutation Importance (RF),pcd,0.0001762796397015487
Complete Cohort,Permutation Importance (RF),obes,6.449255111031781e-05
Complete Cohort,Permutation Importance (RF),coag,2.5797020444096042e-05
Complete Cohort,Permutation Importance (RF),hp,2.1497517036750403e-05
Complete Cohort,Permutation Importance (RF),drug,1.719801362938256e-05
Complete Cohort,Permutation Importance (RF),psycho,1.719801362938256e-05
