Cohort,Setting,Cohort Size,Num Features,Model,Metric,Mean,CI_Lower,CI_Upper,Formatted
Texas Cohort - Urban,Urban,28401,720,Logistic Regression,ROC_AUC,0.7872868219157897,0.7726027982593647,0.802426114673074,0.7873 (0.7726 - 0.8024)
Texas Cohort - Urban,Urban,28401,720,Logistic Regression,PR_AUC,0.4114808313150512,0.3787772510544572,0.44292196070675877,0.4115 (0.3788 - 0.4429)
Texas Cohort - Urban,Urban,28401,720,Logistic Regression,F1_Score,0.43958604190061457,0.41387046815911044,0.4627088197099906,0.4396 (0.4139 - 0.4627)
Texas Cohort - Urban,Urban,28401,720,Logistic Regression,Accuracy,0.7916519978876958,0.7815525435662736,0.8016326350994544,0.7917 (0.7816 - 0.8016)
Texas Cohort - Urban,Urban,28401,720,Logistic Regression,Precision,0.36953212132833513,0.344191431646799,0.39336429993364297,0.3695 (0.3442 - 0.3934)
Texas Cohort - Urban,Urban,28401,720,Logistic Regression,Recall_Sensitivity,0.5428033793325724,0.5102078276919499,0.5758162314737625,0.5428 (0.5102 - 0.5758)
Texas Cohort - Urban,Urban,28401,720,Logistic Regression,Specificity,0.8357936926946985,0.8264696183048483,0.8458722126582419,0.8358 (0.8265 - 0.8459)
Texas Cohort - Urban,Urban,28401,720,Logistic Regression,Brier_Score,0.10983279466204568,0.10419898282384155,0.11502842713261195,0.1098 (0.1042 - 0.1150)
Texas Cohort - Urban,Urban,28401,720,Weighted Ensemble,ROC_AUC,0.8238833496630414,0.8111870258933251,0.8376769611293642,0.8239 (0.8112 - 0.8377)
Texas Cohort - Urban,Urban,28401,720,Weighted Ensemble,PR_AUC,0.4542166695220621,0.4175058630382831,0.48634227895105847,0.4542 (0.4175 - 0.4863)
Texas Cohort - Urban,Urban,28401,720,Weighted Ensemble,F1_Score,0.4757168727817536,0.45139083867237517,0.5010599079001544,0.4757 (0.4514 - 0.5011)
Texas Cohort - Urban,Urban,28401,720,Weighted Ensemble,Accuracy,0.7845784192923781,0.7744807252244322,0.7947588452737194,0.7846 (0.7745 - 0.7948)
Texas Cohort - Urban,Urban,28401,720,Weighted Ensemble,Precision,0.37555729909353014,0.3510701262805088,0.40086046984339974,0.3756 (0.3511 - 0.4009)
Texas Cohort - Urban,Urban,28401,720,Weighted Ensemble,Recall_Sensitivity,0.6491670106801234,0.6184964074758216,0.6804825044750069,0.6492 (0.6185 - 0.6805)
